"id","artist","genre","grouped_genre","song","lyrics"
56890,"4-non-blondes","Rock","Rock_n_Metal","what s up","Twenty-five years and my life is still
Trying to get up that great big hill of hope
For a destination
I realized quickly when I knew I should
That the world was made up of this brotherhood of man
For whatever that means
And so I cry sometimes
When I'm lying in bed just to get it all out
What's in my head
And I, I am feeling a little peculiar
And so I wake in the morning
And I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
What's going on?
And I say, hey yeah yeah, hey yeah yeah
I said hey, what's going on?
And I say, hey yeah yeah, hey yeah yeah
I said hey, what's going on?
Oh, oh oh
Oh, oh oh
And I try, oh my god do I try
I try all the time, in this institution
And I pray, oh my god do I pray
I pray every single day
For a revolution.
And so I cry sometimes
When I'm lying bed
Just to get it all out
What's in my head
And I, I am feeling a little peculiar
And so I wake in the morning
And I step outside
And I take a deep breath and I get real high
And I scream from the top of my lungs
What's going on?
And I say, hey hey hey hey
I said hey, what's going on?
And I say, hey hey hey hey
I said hey, what's going on?
And I say, hey hey hey hey
I said hey, what's going on?
And I say, hey hey hey hey
I said hey, what's going on?
Oh, oh oh oh
Twenty-five years and my life is still
Trying to get up that great big hill of hope
For a destination"
16743,"the-chieftains","Folk","Country_n_Folk","over the sea to skye",""
68246,"eddy-arnold","Country","Country_n_Folk","iaeur tm ll string along with you","I'LL STRING ALONG WITH YOU
Writers Al Dubin, Harry Warren
You may not be an angel 'Cause angels are so few But until the day that one comes along I'll string along with you I'm looking for an angel To sing my love song to And until the day that one comes along I'll string along with you For every little fault that you have Say I have three or four The human little fault that you do have Just make me love you more You may not be angel But still I'm sure you'll do So until that day that one comes along I'll string along with you For every little fault that you have Say I have three or four The human little fault that you do have Just make me love you more You may not be angel But still I'm sure you'll do So until that day that one comes along I'll string along with you."
320497,"coroner","Metal","Rock_n_Metal","the lethargical age","...roses that never bloom
wheels that never spin
bells that never ring
hands too far to reach..."
92054,"fenix-tx","Rock","Rock_n_Metal","skate park","Do you think I'm going crazy but I know my love is true
I just hope that you can see it and the things I do to you
Voice-mail beep up on tune and I know it set to three
And this song will makes me worry 'coz you got caller ID
And what about the night before you said you were at school
You don't have class on Monday night, so I thought that we were cool
So why went far partying about the way I felt
When I saw his car outside your house, I suppose that he's with you
We're through, 'coz me and you were meant to be,
Why can't you see?
So I went to your house to see if you were okay
Coz you never call me back, I called sixteen times today
You told the cops I tried to kill, it was nothing I resort
I said I see you tomorrow, you said you see me in court.
Another day it was a way to find away in your room
I wouldn't have gone through your shit if I thought you'd be home soon
I carved your name in navel tee far in my chest instead
So you can know the pain I feel, this time I hear you say
We're through, 'coz me and you were meant to be
Why can't you see?"
349941,"cloud-nothings","Rock","Rock_n_Metal","separation","INSTRUMENTAL"
104940,"david-allan-coe","Country","Country_n_Folk","you can count on me","You can count on me, girl
You can count on me
I won't ever let you down
You can count on me
You say you want a working man
To bring the money home
Someone to be good to you
And never do you wrong
A man that wants to settle down
And put his feet on solid ground
You want a love that's safe and sound
You can count on me
You say you're looking for a man
To be there when you call
Someone who will stand by you
And never let you fall"
191423,"dark-tranquility","Metal","Rock_n_Metal","dreamlore degenerate","For thou sweeps me
In thy robe of guilt
With garments forged
In spiteful steel
No tainted pride
Shall make conviction cease
But none shall be unto thee proven
Worthy of thy outmost fear
Let alone the silent longing
Instinct shun the ones you dear
Instinct shun the ones you dear
Worthy of thy outmost fear
As the hunter boldly stalks his prey
Intoxicated
Conviction reigns where truth might sway
Intimidated
Silence the bore, silence the bore
Silence the bore [Incomprehensible]
You shun the ones you dear
The hunt is over
So the feast begins
What feast is enduring
When all is said and done
Ever change of hearts, oh
Ever change of hearts
Silence the bore, silence the bore
Silence the bore
The hunter's reason
The hunter's reason fail
The hunter's reason
[Incomprehensible]
The hunt is over
So the feast begins
What feast is enduring
When all is said and done?
When all is said and done?"
287251,"as-i-lay-dying","Metal","Rock_n_Metal","this is who we are","Now this is who we are
I am no one
I am no one's hero
I am no one
For we are not the giant men
That some may think
You are faithful when we are not
So I'd like to tell this story the way it is meant to be
Without the burden that's in our hearts
None of us would have ever found you
You are faithful when we are not
You began a work that only you can complete
Now this is who we are
I'll never know the answers
And I'll always wonder why
Now this is who we are
I'll never know the answers
And I'll always wonder why
Why we're given grace we'll never deserve?
And a second chance that we will never earn
For there is nothing I can do to save myself
For there is nothing I can do
Now this is who we are
I'll never know the answers
And I'll always wonder why
Now this is who we are
I'll never know the answers
And I'll always wonder why
And I'll always and I'll always wonder why
Now this is who we are
I'll never know the answers
And I'll always wonder why
You have let me start again
I'd rather be called weak
Than die thinking I was strong"
129741,"dolly-parton","Country","Country_n_Folk","straight talk","Gimme some straight talk, straight talk
And hold the sugar please
Straight talk, straight talk
Sounds plenty sweet to me
Don't talk to me in circles
In some mumbo-jumbo jive
Gimme just straight talk, straight talk
And we're gonna be alright
'Cause I like to know just where I stand
I don't like guessing games
And I hate a bunch of gibberish
So just spit it out real plain
Don't use big educated words
From your BS Degree
Straight talk, straight talk
Don't try bossing me
Straight talk, straight talk
Turn loose and let it go
You can tell me anything
Just like on Oprah's show
Just tell me how you really feel
Be on the up and up
With questions I can understand
For answers you can trust
Pick up the 'phone, you're not alone
We've all got something to say
So listen in and listen up
We'll find a better way
With honesty and common sense
It's really hard to miss
Straight talk, straight talk
Just tellin' it like it is
Straight talk, straight talk
There's nothing like the truth
Just tell me all your troubles
Pretend I'm Donahue
So don't be shy, 'cause we can talk
You know you've got a friend
Call me, call me
For simple straight talkin'
What's cookin', America?
Straight talk, Straight talk
Straight talk, Straight talk
So come on let's talk turkey
Just straight and to the point
About passions, about problems
About noses out of joint
Now I want you all to know
I care and I do understand
And hey, thanks for lending me an ear
Out there in radio land
Give me some straight talk, straight talk
Don't sugar coat it please
Straight talk, straight talk
Sounds sweet enough to me
But don't talk to me in circles
In your mumbo-jumbo jive
Straight talk, straight talk
And we're gonna be alright
Straight talk, straight talk
Makes plenty sense to me
Don't talk to me in circles
In your mumbo-jumbo jive
Gimme just straight talk, straight talk
And we're gonna be alright
Gimme just straight talk, straight talk
And we're gonna be alright"
168347,"elis","Metal","Rock_n_Metal","my only love","I'm a lonely stranger
In this world of pain
In my darkest hour
I'm alone
Why did you leave me
But one day
I will find you
My heart and soul
My only love
Wandering through the fields
Of disease
Can you hear me calling
Searching for a heart
Which heals my wounds
I'm not going to lose
My faith in love
Just because you left me
But one day
I will find you
My heart and soul
My only love"
288641,"buffy-sainte-marie","Folk","Country_n_Folk","ke sakihitin awasis i love you baby",""
135034,"bolt-thrower","Metal","Rock_n_Metal","challenge for power","Final challenge laid down
Decision on victory is death
Ultimate forces rise
Building weapons of strength
Wheels of war again roll
Strategic tactics are planned
Military minds take control
Ownership of the domain
Taste to conquer grows strong
Ruler of all that remains
Agony for conquest prolongs
Call for the power to rise
Battle of strength within strives
Total authority demands
Ruling territorial lands
Fighting for total command this night
Successor to take up control
Aggression overthrows fear
Your downfall slowly unfolds
Burning quest for power
Possess minds as they fight
Domination and destruction
Reign in glory of might
Challenge for power ends
Battle cry for victory, sounds no more
Ultimate forces have grown
Rising from the slaughter of war
Rulers of the seven nights rise
The future of mankind unfolds
Hail the dawning of a new age
The master race shall now take control"
265926,"bjorn-eidsvag","Folk","Country_n_Folk","pa svai",""
99633,"chesnutt-vic","Country","Country_n_Folk","bernadette","I was shivering, I'll admit it
I had nothing better to do
Except to wheeze my lazy wheeze
Bernadette, where are you?
Bernadette, where are you?
She gets much acclamation
For such a self proclaimed Faustian
Bernadette doesn't like doubters
She wants to fight in the Coliseum
What can you tell me of Therese and Isabelle?
Was it just fate that brought them together?
Or did they will their unusual union?
In cahoots of love or all of the above?
In cahoots of love or all of the above?"
270182,"eels","Rock","Rock_n_Metal","mass","It's really more than I can say
Lookin' at this tower
Angels are off duty and asleep
In these wee hours
And there's no place I can go
And this noise inside my head
It comes and it goes
It comes and it goes
There's really nothing you can stop
So I guess I'm gonna try
Climbing up this tower
Walking up the stones
Stocking feet, to the clock
This is one place that I know
And the face in front of me
It comes and it goes
It comes and it goes
Not some lucky charm
But something to hold onto
That could hold onto me
And there's no place I can go
And this noise inside my head
It comes and it goes
It comes and it goes
It comes and it goes"
147174,"george-hamilton-iv","Country","Country_n_Folk","let s say goodbye like we said hello","Let's say goodbye like we said hello in a friendly kind of way
There's something wrong your love is gone I've no reason now to stay
We live and love we meet and part and broken hearts must pay
Let's say goodbye like we said hello in a friendly kind of way
Your love sweetheart I won't forget you're always on my mind
You're all the happiness I knew so thoughtful sweet and kind
For old time sake I'm asking you to think of me some day
Let's say goodbye like we said hello in a friendly kind of way
[ guitar ]
I wish you happiness sweetheart in everything you do
May good luck always come your way and every dream come true
I remember you and the love we knew the love of yesterday
Let's say goodbye like we said hello in a friendly kind of way
If I should meet some other dear and learn to love them too
I hope and pray somehow sweetheart they'll make me think of you
A tender smile an old love song a heart so light and gay
Let's say goodbye like we said hello in a friendly kind of way"
268928,"adora","Metal","Rock_n_Metal","with closed fists","The cheap politician got his way, and there's nothing you can do
His appealing nature wants to play, and he's ready to pursue
So take a step back 'cause you want nothing to do with this
Single-handedly proving, and constantly moving with closed fists
This is nothing new the second time around, 'cause he's said it all before
Ever changing, nothing new this time around
His lies swept up on the bedroom floor
So take a step back 'cause you want nothing to do with this
Single-handedly proving, and constantly moving with closed fists
Single-handedly proving, and constantly moving with closed fists
His bags are packed full of broken pride, and it's just another day
It's just another day
So take a step back, take a step back away from me
Shot down from the watch tower, longing for new-found power
'Cause that politician got his way, and there's nothing you can do
So take a step back 'cause you want nothing to do with this
Single-handedly proving, and constantly moving with closed fists
His bags are packed full of broken pride, and it's just another day
He said, it's just another day"
257601,"ascension-theory","Metal","Rock_n_Metal","to be content","I tried so hard to sleep last night
But rest eluded me
So many problems on my mind
If I knew what I know now
I might not have begun
I don't know how to turn back now
In this life I lead
Even when all things are right
There's always something else
My soul will reach out for - I can't understand
Why I'm not glad to be content
The image of your face
Sent from miles away
Haunts me everyday
I want to know the things you see
How different your life must be
Things will never be the same again
My spirit longs to be set free
Why is there always more to need
Why did I go and change everything
Why do I see my life in your eyes
Why can't I be glad to be content"
212165,"the-graham-situation","Rock","Rock_n_Metal","the airing of grievances","She's in love with the morning,
She finds it boring to love something else
Weak, without any warning
Haven't you called me?
I'm already done
I'll wait till' the evening,
I'm hardly believing you're not made of dust
She's a lot like the water,
Fit for a slaughter but never around,
To witness the flashing,
Us tenderly crashing ourselves on the run
I'll wait till' the morning
My mind's already strolling
I'll wait till' the skyline cracks
And the stars all pour out instead
She's in love with the morning,
She finds it boring to love something else
Speak without any warning,
Always so adoring but already gone
She's the daughter of water,
Attract to disorder that's already gone
(I'll wait till you're leaving
I'm hardly breathing, I'm bleeding this dust)"
21589,"closet-monster","Rock","Rock_n_Metal","mr holland vs acceptable behavior","Walked for hours up to our knees in the freedom drenched so thick.
I asked who's the true criminal the jailor or convict?
How can you restrict what I can do?
You're casting the first stone.
Sit and spin, I'm doing it again.
Fuck off, leave it alone.
Born tried true the unalienable right to be completely free
Take my word I saw it on t.v.
I wanna see your flag fly high, red, white, and fucking green."
66701,"chavela-vargas","Folk","Country_n_Folk","heraclio bernal",""
345650,"chet-atkins","Country","Country_n_Folk","dobro",""
5763,"bryan-ferry","Rock","Rock_n_Metal","walk a mile in my shoes","If I could be you and you could be me for just one hour
If we could find a way to get inside each other's minds
If you could see you, through my eyes, instead of your ego
I believe you'd be, surprised to see, that you'd been blind
Walk a mile in my shoes
Walk a mile in my shoes
And before you abuse
Criticize and accuse
Walk a mile in my shoes
Now the whole world you see around you is just a reflection
And the law of karma, says you reap, just what you sow
So unless you've, lived a life of total perfection
You'd better be careful of every stone that you should throw
And yet we spend the day throwing stones at one another
'cause I don't think or wear my hair the same way you do
Well I may be common people but I'm your brother
And when you strike out and try to hurt me it's a-hurtin you
There are people on reservations and out in the ghettos
And brother, there but for the grace of god go you and I
If I only, had the wings, of a little angel
Don't you know I'd fly, to the top of the mountain, and then I'd cry"
308158,"asphyx","Metal","Rock_n_Metal","the sickening dwell","Stench of Death welcomes
you
In a crypt of agony
Dwelling in morbid thoughts
Awake, forgotton misery
Crawling maggots paradise
Rats consuming flesh
Hanging stiff on hooks
In the statement of his Eden
Searching for the truth
Root of life
Sickening experience
Reaper's knife
Sick, evil, god, The
abomination
Right, wrong, human
Beast, angel, divine, morbid
revelation
Labyrinth of mind"
3840,"dale-watson","Country","Country_n_Folk","how to break your own heart",""
336267,"the-devil-wears-prada","Metal","Rock_n_Metal","danger wildman","I know a ghost,
And when doubted his truth reveals incredible vengeance
Vanity is a sepulcher
Do as you please, shame, will follow
Languages rot and insects lose interest
Mountains of plastic
Melting Away.
As long as these struggles are aimless
We will all be standing still.
When worded correctly, truth is never a cliche
This is because so many are attached to their deaf ears
Collect the leaves
Count them
Name them
Study each and every single one of them
As long as these struggles are aimless
We will all be standing still
When worded correctly, truth is never a cliche
This is because so many are attached to their deaf ears
All mistakes can be marked by borders
All of love can be traced to a maker
It seems as if what is most important, isn't noticed when forgotten.
Do as you please, shame will follow
The sun and the moon
You'll always take them for granted
What's delicate is lost.
As the selfish forgot what is the sacred.
The humble forget themselves
When worded correctly, truth is never a cliche
This is because so many are attached to their deaf ears."
225603,"before-today","Rock","Rock_n_Metal","enlarge your hearts","Clothed by space
We are aware of this
And we can all agree that we are seen by the light
But I'm beat to death
By a well-defined problem instead
Conscious we all ignore
Jeweler's eye view
Enlarge your hearts now
Enlarge your hearts and try so hard
This tragedy, we take as we give
So you'll take a life tonight
In this eve you will ill deserve sun
Distinguish the black from white
The red from brown
Give all to make him see
Truthfulness and validity
Strength
We should give each other strength
When it's all recovered
Strength
We can give into another way to be"
144575,"equinox-ov-the-gods","Metal","Rock_n_Metal","the lord of the crossroads","Thursday night
The moon shines bright
The witching hour strikes
You stand at the crossroads
You summon me
Up from hell
With rhymes and spells
I will buy what you sell
You can feel i am near
I'll come. I'll Appear
You do not fear
The lord of the crossroads
Whit your blood you will sign
Your soul will be mine
I am the man in black
The lord of the crossroads
I will burn your soul
In the fires of hell..."
17063,"abby-dobson","Folk","Country_n_Folk","horses","If I told you a secret
Would you understand?
Could you promise that youd keep it?
Keep it in your hand
I dont know
Where we go from here
We keep spinning round in circles
Are we going nowhere?
I cant see the future
Are we already there?
I wanna laugh like I used to
Cry like I could with you
I dont know where
We go from here
Come lay down beside me
And Ill tell you a story
Lay your head upon your pillow
Look outside your window
Ill be the stars
Ill be the stars
Weve had a lot of weather
You and me
Nothing is forever
The winds are calling me
You know I wanna know what peace is
But I pulled it all to pieces
Now we need all the kings horses
You know I wanna know what peace is
But I pulled it all to pieces
Now we need all the kings horses
Come lay down beside me
And Ill tell you a story
Lay your head upon your pillow
Look outside your window
If were saying goodbye
Ill see you in the night sky
Ill be the stars
Ill be the stars
Ill be the stars, be the stars"
316517,"asking-alexandria","Metal","Rock_n_Metal","dear insanity","Oh sweet insanity
You take my hand and walk me out into the dark
We walk this road for hours and hours
To the white hills, and the oceans
On a collision course, to hell we march
We're doomed to this now
Oh the irony
If I'm going down I won't go down alone
You're doomed to this one
You're doomed to this now
Hold your breath my dear
We're going under
I've walk this road for hours
To the white hills, and the oceans
I search for solace in this toxic land of sin
Just let me in
Don't wake me up, their songs are soothing
Their wine subdues me
Hold your breath my dear
We're going under
Dreams, my mind won't me lift from my dreams
And thought I try I can't escape my mind
Dreams, my mind won't lift me from my dreams
And though you try you can't escape me
Now you've seen what I've become
Now you've seen what I can do
Now you've seen what I'm capable of
I've walk this road for hours to the white hills, and the oceans
I search for solace in this toxic land of sin
Just let me in
Don't wake me up, their songs are soothing
Their wine subdues me
Welcome to the diary of a man that lost his mind so long ago
Welcome to the shell of a man with a heart so black and cold
Over and over in my head"
140036,"chuck-berry","Rock","Rock_n_Metal","club nitty gritty","Well, down in Tennessee, close to Mississippi
'Bout a mile out of Toulouse, on the way to Memphis
There's a road turning south that's rather rocky and tricky
But it dead-ends right up to the Club Nitty-Gritty
They do the Mess Around
The Watusi
The Hully Gully
The Mashed Potato
And oh-oh they started Twisting
They did the Shimmy
Ah! They were Jerking"
142665,"billy-burnette","Country","Country_n_Folk","i m getting wasted doing nothing","Written by billy burnette.
I'm getting wasted doing nothing
My mind is drifting far away
I hocked my guitar for a dozen dollar bills
I wish that there was some other way
I play my songs in a bar down on main street
Only one I know of for miles around
And people get to drinking and they fall asleep
And the owner says to move on to some other town
So, I just get my guitar and run
Until I can find someone to make music"
362011,"clay-walker","Country","Country_n_Folk","heaven leave the light on","Well, I'm only human, I'm just a man
It don't make no difference who I am
I've climbed some mountains
And I've tumbled down
I've been a king, I've been a cloud
[Chorus]
So Heaven leave the light on
It's dark and I can't see
So Heaven leave the light on
Burn like a fire for me
And I won't have no problem askin' please
Heaven leave the light on for me
Well, I've heard of mansions, and streets paved in gold
Yeah, I know that's where I want to go
But how do you get there
Yes, I've heard 'em say
That if you have to ask then you don't know your way
[Chorus]
If I see the river, I'm not afraid to die
'Cause I know I'll find the other side
So Heaven leave the light on
It's dark and I can't see
So Heaven leave the light on
Burn like a fire for me
And I won't have no problem askin' please
Heaven leave the light on
It's dark and I can't see
So Heaven leave the light on
Burn like a fire for me
And I won't have no problem askin' please
Heaven leave the light on for me, yeah"
28602,"elizabeth-mitchell","Folk","Country_n_Folk","mary was the queen of galilee",""
166267,"children-of-bodom","Metal","Rock_n_Metal","widdershins","The path I walked is now
covered in dust of contrition
as you say I've lost my way
The nights getting clouded over
I hear the echo of your call
Sweet words softly weaving
My eyes are open and bleeding
One way or another
Has never been the right direction
Our sky or another
Could be on reflection
I'm looking up if the stars sign
The afterlife that is to be mine
And wonder if you let them shine
Alive or dead, but not dead yet
Widdershins and hence we fly
The left hand path
Attract a wicked mind
Backwards we walk thru
The maze of life we spent
A new beginning could be the end
I'm lookin' up and the stars sign
Our afterlife that you are to be mine
Don't wonder just let them shine
Widdershins and hence we fly
The left hand path
Attract a wicked mind
Alive or dead, but not dead yet
You dance around me
Widdershins and the two tormented souls met"
310124,"bobby-bare","Country","Country_n_Folk","autumn of my life","In the spring of my life she came to me
She brought sunshine where winter winds had blown
Then I took her for my wife in the spring of my life
And she brought me a joy I'd never known
And the years they went by in the spring of my life
And in summer she blessed me with a child
Love continued to grow in the summer of my life
And in every morning sun I saw her smile
But in the autumn of my years I noticed the tears
And I knew that our life was in the past
Though I tried to pretend, I knew it was the end
For the autumn of my life had come at last
Now what, what do you say to a child of ten?
How do you tell him his daddy's goin' away?
Do I tell him that I reached the autumn of my life
And that he'll understand some winter's day?"
