"id","artist","song","lyrics"
64721,"the-bevis-frond","cries from the inner marshland",""
29533,"bill-anderson","silver bells","City sidewalks busy sidewalks dressed in holiday style
In the air there's a feeling of Christmas
Children laughing people passing meeting smile after smile
And on every street corner you hear
Silver bells silver bells it's Christmas time in the city
Ring a ling hear them ring soon it will be Christmas Day
Strings of street lights even stop lights blink a bright red and green
As the shoppers rush home with their treasures
Hear the snow crush see the kids bunch this is Santa's big scene
And above all this bustle you hear
Silver bells silver bells...
Soon it will be Christmas Day"
201209,"granger-smith","silverado bench seat","Girl you shine like a brand new dime
Like a song in rhyme I can sing to
I bet them boys all stand in line
So they can take you out and try to win you
My boots and jeans don't go so well with a
White tablecloth and a ritzy hotel
I'm used to my simpler days
So baby climb on in this truck
I'll show you what I mean
I wanna love you on a silverado bench seat
Fogging up the windows
While we're parked down by the creek
No other light besides the stars and the moon
That's what you get when a country boy loves you
A girl like you is just so pretty
You've been wine and dine all over this town
I wanna take you far from the city
Back on a back road
And watch the sun go down
I wanna love you on a silverado bench seat
Fogging up the windows
While we're parked down by the creek
No other light besides the stars and the moon
That's what you get when this country boy loves you
It was clear around midnight
If the sky was right
How the water starts dancing in the moonlight
If you want a country boy lovin you
And girl I know you do
I wanna love you on a silverado bench seat
Fogging up the windows
While we're parked down by the creek
No other light besides the stars and the moon
That's what you get when this country boy loves you
When this country boy loves you
On the silverado bench seat
"
176190,"cowboy-junkies","ooh las vegas","Ooh, Las Vegas
Ain't no place for a poor girl like me
Ooh, Las Vegas
Ain't no place for a poor girl like me
Every time I hit your crystal city you know
You're gonna make a wreck outta me
Well, the first time I lose I drink whiskey
Second time I lose I drink gin
Third time I lose I drink anything
'Cause I think I'm gonna win
Ooh, Las Vegas
Ain't no place for a poor girl like me, no
Ooh, Las Vegas
Ain't no place for a poor girl like me
Every time I hit your Crystal City you know
You're gonna make a wreck outta me
Well, the Queen of Spades is a friend of mine
The Queen of Hearts, she's a bitch
Someday when I clean up my mind
I'll find out which is which
Ooh, Las Vegas
Ain't no place for a poor girl like me
Ooh, Las Vegas
Ain't no place for a poor girl like me
Every time I hit your Crystal City you know
You're gonna make a wreck outta me
Well, I spend all night with the dealer
Tryin' to get ahead
Spend all day at the Holiday Inn
Tryin' to get out of bed
Ooh, Las Vegas
Ain't no place for a poor girl like me
Ooh, Las Vegas
Ain't no place for a poor girl like me
Every time I hit your Crystal City you know
You're gonna make a wreck outta me"
187726,"dwarves","nobody spoil my fun",""
166879,"fear-factory","21st century jesus pisschrist","Where are we now?
When we are blind
Abandoned faith
You left behind
Were you betrayed?
Or did you lie?
Our common fate
Our common demise
Where is the son?
To light the way
Along the path
Of our dismay
Look to the sky
On judgment day
A human God
That was man-made
So we lie
So we lie
So we lie
So we lie
And so we rise
Just to fall down
In reality
You're never found
I'm reaching out
With sealed eyes
I grab for light
Visions decried
So we lie
So we lie
So we lie
So we lie
So we lie
So we lie
So we lie
So we lie
Face down, arms out
Nailed to the cross of doubt
Blood runs like rain
Drowning for this world in vain
Crown of black thorns
Human skin, ripped and torn
Crown of black thorns
Human skin, ripped and torn
Where is your savior now?
Where is your savior now?
Where is your savior now?
Where is your savior now?"
23045,"depressive-age","way out","I have trouble in my mind
Do not know what's wrong or right
I fall in thoughts 'bout the roots
I hate myself, I am confused
This town is dangerous every time, don't move in unknown ways to find
The way out to relief, 'cause violence amplifies the grief
I have no disease, have food, bed and flat
Lots of important things that other people want to get
Maybe I'll help them, but I'm selfish today
I hate myself, so dazed in this state
This town is dangerous every time, don't move in unknown ways to find
The way out to relief, 'cause vilence amplifies the grief
Now, one is gone, one near me
Is gone forever and finds some releif
His child is left alone for me
Is this the new way that should be, out of my hate?
This town is dangerous every time, don't move in unknown ways to find
The way out of your hate, is this the new way out of my hate?"
176915,"drown","i owe you","Wasting time on my own thoughts
Pulling me in so deep
Thoughts of you in our little world
It makes me cold
It makes me weak
I self destructed
I reconstructed
I owe this all to you
For a while you let me forget myself
But once again
The real me is alive
I put myself here
Look what it's done to me
I'll keep myself here
Now watch me bleed
I wanted to believe in you
I tried to believe in the lie
It was a lie
Now you see what it did to me
It was a lie
I'm self reliant
I'm self confidement
I owe this all to you
You showed me that I'm the only one I know
So once again
The real me is alive
I put myself here
Look what it's done to me
I'll keep myself here
Now watch me bleed
I was taken apart by what I never knew
I was taken apart
The ugly part of you
The ugly part of you
Spend time with the broken man
I owe this all to you
I was taken apart by what I never knew
I was taken apart
The ugly part of you
You"
207924,"damnation","66613","Fuckin' fast and mean (x3)
66613
High on punk rock-n-roll (x2)
Fuckin' fast and mean
66613
2, 3, GO!! (x2)
Sick phuckin shit
High on punk rock-n-roll
Fuckin' fast and mean
66613"
345632,"chet-atkins","tenderly",""
220787,"corrosion-of-conformity","what","Deafness, silence wait for me.
Like it loud, wide open loud.
Won't turn it down for anything
Never learn, let it burn
Burn my hearing, jar my brain
Never learn, let it burn
Beyond the threshold of pain
Say, I'm on the brink
Can't even think
What you say I'm unaware?
What you say I don't care.
Too loud is an idea
I can't comprehend
What you say I'm unaware?
Why you say I don't care."
90201,"graham-nash","on the line","Hanging around is holding me down
I'm starting to frown at everyone I see,
I'm taking the calls and playing the halls,
But staring at walls is all I ever see
So is the money I make
Worth the price that I pay?
Can I make it to the end of the line?
Don't the wind blow cold
When you're hanging your soul
On the line?
And you're driving to work
You're wearing your shirt
You're dialing the dirt
With everyone you see
You're taking a loss,
You envy the boss,
You're counting the cost
Of everything you see
[Chorus]
But is the money you make
Worth the price that you pay?
Can you make it at the end of the line?
Don't the wind blow cold
When you're hanging your soul
On the line?
Oh, and you know that it's true
That I've watched you go far
Playing guitar
Being a star
For everyone to see
And I'm filming my dreams
From limousines
And thinking of scenes
For everyone to see"
208147,"fisher","mary","I woke up and Mary was still gone,
Thought if I stopped hurting, she would come back to me.
Walk right through the door and say ""Ah ha!
I was only joking, didn't you look silly crying.""
But I wake up and Mary is still gone.
I looked at the clock and it was still
Lying on the floor exactly where I threw it,
Both hands smashed against its silver face.
My feeble attempt to stop time, but time goes on
And wake up and Mary is still gone.
Mary was it necessary
To leave before the party?
I know its selfish to say
You always brought the cake, now
What will I eat with all these tears?
I looked at the list and saw her name,
Kid myself she never got an invitation,
Kid myself I'm sure somehow she knew
My stupid attempt to find some way to move on
But I wake up and Mary is still gone."
336142,"dark-at-dawn","don t pay the ferryman","It was late at night on the open road,
speeding like a man on the run
A lifetime spent preparing for the journey.
He is closer now and the search is on,
reading from a map in the mind:
Yes there's that ragged hill
and there's a boat on the river.
And when the rain came down,
he heard a wild dog howl
There were voices in the night
(Don't do it!)
Voices out of sight
(Don't do it!)
Too many men have failed before,
whatever you do;
Don't pay the ferryman!
Don't even fix a price!
Don't pay the ferryman
Until he gets you to the other side.
In the rolling mist, then he gets on board,
now there'll be no turning back
Beware that hooded old man at the rudder.
And then the lightning flashed and the thunder roared,
and people calling out his name,
And dancing bones that jabbered-and-a-moaned
on the water.
And then the ferryman said ""There is trouble ahead,
So you must pay me now.""
(Don't do it!)
""You must pay me now.""
(Don't do it!)
And still that voice came from beyond,
whatever you do;
Don't pay the ferryman!
Don't even fix a price!
Don't pay the ferryman
Until he gets you to the other side."
206757,"bloodbath","cry my name","you will see
my burning inferno
and there is no way
in your wildest dreams
that you can say no
i suffocate your soul
and drain you of your lifeblood
the breathing darkness here
will make you disappear
there is no return
i steal your soul
and carve a hole right where your heart once used to be
i watch you die
i hear you cry
it fills my soul with such delight
you are lost
you are entering a dead world
wherever you will turn
you will see your spirit burn
your life is over
here in death's dominion
where even shadows die
i am the one almighty
you will cry my name
and when you seek forgiveness
you will see there is no god
and for all eternity
you will cry my name
you
cry out
now it's time to return
to the world up above
and invite you to burn
oh, the ones that i seek
are defenseless and weak
soon their hearts will be mine
and no one can slip
from my powerful grip
i was born to deceive
the smell of your flesh
so rancid and fresh
it keeps me alive"
298895,"be-good-tanyas","house of the rising sun","Oh there is a house in New Orleans.
They call the Rising Sun.
It's been the ruin of many young poor girls
And God I know I'm one.
My mother, she was a tailor, yeah yeah
She sewed my new blue jeans
My father, he was a gamblin man
Down in New Orleans.
I got one foot on the platform, yeah
The other foot on the train
I'm going back to New Orleans
To wear that ball and chain
Oh mother please tell your children, oh yeah
Not to do what I have done
Go and spend their lives in sin and misery
In the house of the Rising Sun.
Now the only thing a gambler needs
Is a suitcase and a trunk
And the only time he will be satisfied
Is when he's all drunk.
Oh there is a house in New Orleans.
They call the Rising Sun.
It's been the ruin of many young poor girls
And God I know I'm one."
337391,"camper-van-beethoven","no flies on us","(instrumental)"
320454,"buckethead","jump man","Instrumental"
270764,"bill-monroe","you re drifting away","All your life you've lived a sinner the bright way you've never trod
You're drifting away, you're drifting away
When you come to cross the river and you haven't met with God
You're drifting away, you're drifting away
You're drifting away, you're drifting away
On down the dark river I'm sorry to say
You're drifting away, you're drifting away
Don't wait too long to let Jesus hear you pray
You won't give up your earthly treasures to enter the promised land
You're drifting away, you're drifting away
You can hear Jesus callin' but you won't accept his hand
You're drifting away, you're drifting away
You're drifting away, you're drifting away
On down the dark river I'm sorry to say
You're drifting away, you're drifting away
Don't wait too long to let Jesus hear you pray
When you come to cross the river Jesus won't give the command
You're drifting away, you're drifting away
And that dark rollin' river takes you to the sinkin' sand
You're drifting away, you're drifting away
You're drifting away, you're drifting away
On down the dark river I'm sorry to say
You're drifting away, you're drifting away
Don't wait too long to let Jesus hear you pray"
5070,"gates-of-ishtar","the burning sky","Words, Never thought for a long time
Never spoken, Crawling in my mind
Brought to life by their own demise
Their feeble lies
I remember those days when truth were the way
Remeber those days, It's never the same again
Hate, I feel the demon growing strong inside
Vengeance is screaming in my blood
Like thunder roaring in the sky
The burning sky..."
58247,"acid-rain","ich wunschte es ware immer so wie heute","Es ist wie jedes Jahr
Die ganze Familie ist da
Und wir sitzen um den Weihnachtsbaum
Mit der ganzen Kinderschar
Ihre kleinen Augen glänzen
Hell im Kerzenschein
Und bitten uns voll Vorfreude
Laßt den Weihnachtsmann herein!
Ich wünschte, es wäre immer so wie heute
Alle sind glücklich, eine ganz andere Seite
Ich wünschte, es wäre immer so wie heute
Als ob uns Gott von allem Übel befreite
Dann klopft es an die Tür
Wer kann denn das bloß sein?
Und dann geht sie plötzlich auf
Und der Weihnachtsmann kommt herein
Die Kinder jubeln laut
Weil er heut' niemanden verhaut
Und dann greift in den großen Sack
Und baut die Geschenke auf
Ich wünschte es wäre, immer so wie heute
Alle sind glücklich, eine ganz andere Seite
Ich wünschte, es wäre immer so wie heute
Als ob uns Gott von allem Übel befreite
Ausgepackt sind die Geschenke
Und wir vergessen nicht
Diese Sachen kommen von Herzen
Es brennt das Weihnachtslicht
Wir warten bis nächstes Jahr
Dann sind alle wieder da
Und wir sitzen um den Weihnachtsbaum
Mit der ganzen Kinderschar
Ich wünschte, es wäre immer so wie heute
Alle sind glücklich, eine ganz andere Seite
Ich wünschte, es wäre immer so wie heute
Als ob uns Gott von allem Übel befreite"
345544,"genitortures","jackin man","Masturbating in your bedroom.
Spilling seed I see your pin.
Take a bite and come inside.
I know your pain is far from insane.
Jack! Jack! Oh baby come in me.
Jack me! Smack me!
Bend me over... In my your face.
I need the harder way;
That you take my body for your own play.
Torch my soul, fill it how you wish.
To see you bleed is my what I need.
When I'm there you're jacking everywhere.
Can't you see it's what I want.
Say a prayer for jackin' while I beat you.
It's right in my...
Jack
Oh yeah
Jack
Master's play, is jackin' every day.
And when he's cumming it's what I want.
Your swollen vein jacks away the pain.
It's right in my...
Right there...
Masturbating in your bedroom.
Spilling seed I see your pin.
Take a bite and come inside.
I know your pain.
Mmmmmm... My jackin' man..."
140485,"battlelore","sons of riddermark","Horse lords the men of Rohan
Allies of Gondor the land below
Green fields they guard with honour
Eastern terror, keep away!
Finest chargers of Middle-earth
They raise and ride
See the banners of Riddermark
If you're foe, you should run or hide
River Anduin, Fangorn forest
Mountains of Mist and White Horn
Mighty borders surround the Kingdom
Strong regions to guard the land
Edoras the heart of Rohan
Capital of Riddermark
Fortresses around the realm
Dunharrow and Helm's Deep
Citadels so hard to annex
Victory in both of them...
Battle of the Pelennor Fields
Invasion of Dunlending
Third Age of the Sun
The battle of Filed of Celebrant
Orchish triumph was so near
Then the third army arrived
There's no enemy who
Could ever oberwhelm those plains of light
Steal their fate of better times
And kill the fire in their eyes"
361051,"cristian-troncoso","where have you gone","Where have all people gone?
Where is your skin when I'm in this bed lying
My shoes seem covered with snow
and I used your words to keep them dry
I'm miles away but I feel you here
I'm far away but closer than yesterday
Cotton is floating and I use it to build a castle
It's weak and fake and useless like
some of the stories I've told to my friends
And I'll play a song to keep you awake
And I'm weightless so I will let the wind take me where you are"
74519,"goldie-hill","twice as blue","Twice as blue without you I'm just twice as blue today
You didn't treat me right so I thought I might as well just go away
Oh perhaps I could forget you but no matter what I'd do
Seems that I still find you on my mind and now I'm twice as blue
I said who was true what else could I do you made my life so sad
But I know through today I'd take you any old way and I feel just half this bad
Cause I'm twice as blue without you as I never was before
Now I knew you'd win cause here I am again a knocking at your door
[ guitar ]
I said who was true...
A knocking at your door"
6549,"da-dheimsgard","the snuff dreams are made of",""
90535,"emerson-lake-palmer","from the beginning","There might have been things I missed
But don't be unkind
It don't mean I'm blind
Perhaps there's a thing or two
I think of lying in bed
I shouldn't have said
But there it is
You see, it's all clear
You were meant to be here
From the beginning
Maybe I might have changed
And not been so cruel
Not been such a fool
Whatever was done is done
I just can't recall
It doesn't matter at all
You see, it's all clear
You were meant to be here
From the beginning"
318879,"few-left-standing","what s the use","Where's my head?
Caught up in selling the drama
Where am I?
Coloring the chameleon to fit in
Lost my integrity to have a social status
Good cop, bad cop
Be all things to all people
I feel that You won't be so
A talker, a listener
Not a conformist
Sometimes I found myself loving You
I think I'm in love with You now
(I love you)
I found myself hating You, I think I hate You
(I hate you)
Trying to save You
Trying to hurt You
Trying to save You
Losing sight on why I live
Losing sight on why I live
Losing sight on why I live
If I live, I live for Him
If I die, I die for Him
If I live, I live for Him
If I die, I die for Him
If I live, I live for Him
If I die, I die for Him
Take up your cross
Follow Him, not the sheep
Take up your cross
Follow Him, not the sheep
Time to focus on developing
Not damaging
Time to focus on developing
Not damaging
Don't want to be another Judas
What have I done? What have I done?
Don't want to be another Judas
What have I done? What have I done?"
193857,"arrogant-worms","the mountie song","When I was a kid I wanted to grow up and be a cop in a
province town or county
I thought it would be great if somedy i could be a
Mountie
I wanted to beat up crooks and make arrests because taht's
part of the profession
But now I just sit on my horse and tell American tourists the
parliament's in session
I really don't look good in red and my stupid hat flies off my
head in every parade
I'm young and strong and have no fear but now I'm spending
my career in Motorcades
CHORUS
I wanna enforce the law, I wanna wear normal clothes
I don't wanna have to smile for diplomat's home videos
I'm good at workin' real hard, I should have joined the Coast
Gaurd
Oh no the RCMP, is not the life for me
I used to think that a Mountie had to be honest, loyal, humble
strong and thrifty
But even though we don't break ranks we get no thanks, they
took us off the fifty (dollar bill)
On Sussex Drive in hallowed halls we act like gaurds in
shopping malls, it's such a pain
Like someone's plotting to kill the minister of
Sports and Recreation now that's insane
Sometimes I just wanna puke Sgt. Preston of the Yukon
Dudley Dooright's such a jerk
And though he tries with all his heart, my horse couldn't catch a
shopping cart
Somedays I hate to go to work
CHORUS
Hilarious Banter
CHORUS"
150719,"divididos","ortega gases","Comprndolo todo; Ortega y Gases.
Sonrisa de ida, la fiesta empez.
Quieto el mvil calle para atrs
gente germinando esperando
el sol.
Nicho con cortina mutual
sin carnet un manual de
ida manual pa'
volver.
De la uva al vino de la papa al pur.
De la papa al vino y al voto despus.
Entre chiste y chiste se me confundi
si me lleva el pingo o el pingo sos vos
la moral ajena mostr el almidn
chacarera duerme cuando
sale el sol."
260060,"avrigus","dark angels ascension","When the fires of Hell have burned to the core,
And evil deads are done no more,
Then the Earth shall heave with a mighty roar,
As angels of death to Heaven shall soar.
Great shadows shall fall as one by one
Dark angels wings eclipse the sun.
Salvaging truth
from the wake of their lies,
Stealing their thunder
from the gods and the wise.
All hail! All hail!
As dark archangels rise."
71565,"damien","someone like you","I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face and that you'd be reminded
That for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg, I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead
You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face and that you'd be reminded
That for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg, I remember you said
Sometimes it lasts in love, but sometimes it hurts instead, yeah
Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?
Never mind, I'll find someone like you
I wish nothing but the best for you
Don't forget me, I beg, I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg, I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead"
100247,"3rdeyegirl","wow","Hello, How are you?
You're looking so fine
No, it's true
Remember the time we first met?
You think that was good? You ain't seen nothin' yet
Like a bee to some honey
A moth to a flame
You got an addiction and you got me to blame
You never saw it comin' 'cause I made no claims 'til now
You can call it the unexpected or you can call it wow
You can call it call it wow
You can call it call it call it wow
You can call it the unexpected or you can call it call it call it
Sorry, I don't know
What came over me
The cycle of the moon affects the motion of the see what you did
It's starting all over again
We both want it now more than we did back then
Like a bee to some honey
A moth to a flame
You got an addiction and you got me to blame
You never saw it comin' 'cause I made no claims 'til now
You can call it the unexpected or you can call it wow
You can call it call it wow
You can call it call it call it wow
You can call it the unexpected or you can call it call it call it call it
Give me a minute
Let me get myself together
I'm never really out of control
Really, I'm so much better
Maybe it's your eyes, your stare, lookin' like lookin' like you wanna go somewhere
You wanna go somewhere?
Somethin' 'bout the wild in me, it's never tame
I think we're both alike, this is how we became
Like a bee to some honey
A moth to a flame
You got an addiction and you got me to blame.
You never saw it comin' 'cause I made no claims 'til now
You can call it the unexpected or you can call it wow
You can call it call it wow
You can call it call it call it wow
You can call it the unexpected or you can call it call it call it call it call it!
You can call it the unexpected or you can call it call it call it call it call it"
90125,"gamma-ray","silence","When you're drowning,
when you're freezin',
when you're feeling cold
There's a light in the darkness
as the elder always told.
When the winter's coming closer
and the autumn's passing by,
Then the world will sink in silence
and I think we all should try.
Oh, I want to live my life in a fairy tale
Where the end is always good and never sad.
Show me the way to another world
Where the sun is always shining in the and
And we fight back the tears, and we lose our fears,
Let the world remain in silence for a while
Sun in our minds in a world full of ice,
Let silence remain for a little while.
Somebody came and slammed the door,
took the feelin' away from our hearts.
And the horror took hold of a place
in our hearts filled with love.
What is left behind the ice,
behind the make up and the lies
Tell me what goes on inside our minds,
There is a hole in our sky,
getting bigger, growing wide
No more answer, but we hold the line
See and hear what we have done to us all,
we want to be free more than anything,
Do you hear what I say to you?
We will make it through, the sun shall shine.
Hear the words we say and see the light of day
We never will be free until the sun is shining for us all
Carry on, carry on and make our dreams come true
And for a little while we stay together
Carry on, carry on, may all our lovin' stay
And for a little while we stay together, forever
Together, forever."
62123,"36-crazyfists","city ignites","ItÃ¢??s a midnight swim, where it is late and the air is all clear.
And I remember that evening, you on the floor,
I was attached to the ceiling.
Look behind, that glass in your mouth, itÃ¢??s what I am due for.
The sun will set tonight on all the lonely dreamers,
Only to rise again so we can start it over.
And you were right when you whispered in my ear and it all became so clear.
ItÃ¢??s gonna be alright, everything will be alright even if the city ignites.
Look behind, that glass in your mouth, itÃ¢??s what I am due for.
The sun will set tonight on all the lonely dreamers,
Only to rise again so we can start it over, start it again
Now to get back to the room where thereÃ¢??s windows as large as the city
The sun will set tonight on all the lonely dreamers,
Only to rise again so we can start it over, start it again"
67789,"eddy-arnold","one kiss for old times sake","(I want you I need you I love you please grant me this)
One kiss for old time's sake just like it used to be
One kiss for old time's sake could bring you back to me
If you give me a chance to love you one more time
Maybe my lips on yours would change your mind
And you would know how much I want you I need you I love you
Oh my darling please grant me this
One kiss for old time's sake just like it used to be
One kiss for old time's sake could bring you back to me
If there's a spark of love still left from our romance
You owed it to your heart to give me one more chance
Oh can't you see how much I want you I need you I love you
Oh my darling please grant me this"
316509,"asking-alexandria","the black","Bury me
Just leave me to sleep in the dirt
Finish me
I'm floating away
There's a demon staring straight through your eyes
Am I wasting my time?
Something's turning inside of me
You make me feel like I'm fucking drowning (I need to cut you out, I need to cut you out)
You made my world come crashing down around me
(I need to cut you out)
Oh God I wish you'd just speak to me
Black is all that I see
Speak to me
You used to be all that I needed
I've been crucified and hung out to dry
Yet my heart still beats and I feel so alive
This time I'll fight for myself as you try to fuck me over
I bet you never cared
I knew you never cared
You make me feel like I'm fucking drowning (I need to cut you out, I need to cut you out)
You made my world come crashing down around me
(I need to cut you out)
Speak to me
Black is all that I see
Speak to me
You used to be all that I needed"
15903,"death-cab-for-cutie","i was a kaleidoscope","I put on my overcoat and walked into winter, my teeth chattered rhythms
And they were grouped in twos or threes,
Like a Morse code message was sent from me to me.
Cars on slippery slopes, they're stuck: people pushing through
Their mittens as I was beginning to feel it soaking through my shoes,
Getting colder with every step I took to your apartment, dear.
And I was a kaleidoscope, the snow on my lenses distorting the image of what
Was only one of you and I didn't know which one to address as all your lips
Moved.
This is when I forget breathe all the things I scripted, they sound unfounded.
And the look that you're giving me, it tells me exactly what you are thinking,
""this ain't working anymore.""
They got their mothers worked into a panic
Sledding down hills into oncoming traffic
The parents layered clothes until the children couldn't move then kept them
Outside til their noises were blue and I got left there, too."
